"","id","name","addr","city","phone","type"
"78",94,"mitali east-west","296 bleecker st.","new yornk","212-989-1367","indian"
"79",95,"monsoon ( ny )","435 amsterdam ave.","new york","212-580-8686","thai"
"80",96,"moustache","405 atlantic ave.","new york","718-852-5555","middle eastern"
"81",97,"nobu","105 hudson st.","neww york","212-219-0500","japanese"
"82",98,"one if by land tibs","17 barrow st.","nw york","212-228-0822","continental"
"83",99,"oyster bar","` lower level","new york","212-490-6650","seafood"
"84",100,"palm","837 second ave.","new york","212-687-2953","steakhouses"
"85",101,"palm too","840 second ave.","new york","212-697-5198","steakhouses"
"86",102,"patsy's pizza","19 old fulton st.","new york","718-858-4300","pizza"
"87",103,"peter luger steak house","178 broadway","new york","718-387-7400","steakhouses"
"88",104,"rose of india","308 e. sixth st.","new york","212-533-5011","indian"
"89",105,"sam's noodle shop","411 third ave.","new york","212-213-2288","chinese"
"90",106,"sarabeth's","1295 madison ave.","ne york","212-410-7335","american"
"91",107,"sparks steak house","210 e. 46th st.","ew york","212-687-4855","steakhouses"
"92",108,"stick to your ribs","5-16 51st ave.","new york","718-937-3030","bbq"
"93",109,"sushisay","38 e. 51st st.","new yorkw","212-755-1780","japanese"
"94",110,"sylvia's","328 lenox ave.","new york","212-996-0660","southern/soul"
"95",111,"szechuan hunan cottage","1588 york ave.","ew york","212-535-5223","chinese"
"96",112,"szechuan kitchen","1460 first ave.","newyork","212-249-4615","chinese"
"97",113,"teresa's","80 montague st.","new york","718-520-2910","polish"
"98",114,"thai house cafe","151 hudson st.","new yok","212-334-1085","thai"
"99",115,"thailand restaurant","106 bayard st.","new york","212-349-3132","thai"
"100",116,"veselka","144 second ave.","new york","212-228-9682","ukrainian"
"101",117,"westside cottage","689 ninth ave.","nnew york","212-245-0800","chinese"
"102",118,"windows on the world","107th fl .","new york","212-524-7000","eclectic"
"103",119,"wollensky's grill","205 e. 49th st.","new york","212-753-0444","steakhouses"
"104",120,"yama","122 e. 17th st.","new york","212-475-0969","japanese"
"105",121,"zarela","953 second ave.","new york","212-644-6740","mexican"
"106",122,"andre's french restaurant","401 s. 6th st.","las vegas","702-385-5016","french ( classic )"
"107",123,"buccaneer bay club","3300 las vegas blvd. s.","las vegas","702-894-7350","continental"
"108",124,"buzio's in the rio","3700 w. flamingo rd.","las vvegas","702-252-7697","seafood"
"109",125,"'em eril's new orleans fish house","3799 las vegas blvd. s.","las vegas","702-891-7374","seafood"
"110",126,"fiore rotisserie & grille","3700 w. flamingo rd.","las vegas","702-252-7702","italian"
"111",127,"hugo's cellar","202 e. fremont st.","la vegas","702-385-4011","continental"
"112",128,"madame ching's","3300 las vegas blvd. s.","las vegas","702-894-7111","asian"
"113",129,"mayflower cuisinier","4750 w. sahara ave.","las vegas","702-870-8432","chinese"
"114",130,"michael's ( las vegas )","3595 las vegas blvd. s.","las vegas","702-737-7111","continental"
"115",131,"monte carlo","3145 las vegas blvd. s.","las vegas","702-733-4524","french ( new )"
"116",132,"moongate","3400 las vegas blvd. s.","lass vegas","702-791-7352","chinese"
"117",133,"morton's of chicago ( las vegas )","3200 las vegas blvd. s.","las vegas","702-893-0703","steakhouses"
"118",134,"nicky blair's","3925 paradise rd.","las vegas","702-792-9900","italian"
"119",135,"piero's restaurant","355 convention center dr.","lass vegas","702-369-2305","italian"
"120",136,"spago ( las vegas )","3500 las vegas blvd. s.","las vegas","702-369-6300","californian"
"121",137,"steakhouse the","128 e. fremont st.","las vegas","702-382-1600","steakhouses"
"122",138,"stefano's","129 fremont st.","las vegas","702-385-7111","italian"
"123",139,"sterling brunch","3645 las vegas blvd. s.","las vegas","702-739-4651","eclectic"
"124",140,"tre visi","3799 las vegas blvd. s.","las veas","702-891-7331","italian"
"125",141,"' 103 west","103 w. paces ferry rd.","atlanta","404-233-5993","continental"
"126",142,"alon's at the terrace","659 peachtree st.","atlanta","404-724-0444","sandwiches"
"127",143,"baker's cajun cafe","1134 euclid ave.","atlanta","404-223-5039","cajun/creole"
"128",144,"barbecue kitchen","1437 virginia ave.","atlanta","404-766-9906","bbq"
"129",145,"bistro the","56 e. andrews dr. nw","atlata","404-231-5733","french bistro"
"130",146,"bobby & june's kountry kitchen","375 14th st.","atlanta","404-876-3872","southern/soul"
"131",147,"bradshaw's restaurant","2911 s. pharr court","aatlanta","404-261-7015","southern/soul"
"132",148,"brookhaven cafe","4274 peachtree rd.","atlanta","404-231-5907","vegetarian"
"133",149,"cafe sunflower","5975 roswell rd.","atlanta","404-256-1675","health food"
"134",150,"canoe","4199 paces ferry rd.","atlanta","770-432-2663","american ( new )"
"135",151,"carey's","1021 cobb pkwy . se","aotlanta","770-422-8042","hamburgers"
"136",152,"carey's corner","1215 powers ferry rd.","atlanta","770-933-0909","hamburgers"
"137",153,"chops","70 w. paces ferry rd.","atlanta","404-262-2675","steakhouses"
"138",154,"chopstix","4279 roswell rd.","atlanta","404-255-4868","chinese"
"139",155,"deacon burton's soulfood restaurant","1029 edgewood ave. se","tlanta","404-523-1929","southern/soul"
"140",156,"eats","600 ponce de leon ave.","atlanta","404-888-9149","italian"
"141",157,"flying biscuit the","1655 mclendon ave.","atlanta","404-687-8888","eclectic"
"142",158,"frijoleros","1031 peachtree st. ne","atanta","404-892-8226","tex-mex"
"143",159,"greenwood's","1087 green st.","atlanta","770-992-5383","southern/soul"
"144",160,"harold's barbecue","171 mcdonough blvd.","atlanta","404-627-9268","bbq"
"145",161,"havana sandwich shop","2905 buford hwy .","atlanta","404-636-4094","cuban"
"146",163,"indian delights","3675 satellite blvd.","atlanta","100-813-8212","indian"
"147",164,"java jive","790 ponce de leon ave.","atlanta","404-876-6161","coffee shops"
"148",165,"johnny rockets ( at )","2970 cobb pkwy .","atlanta","770-955-6068","american"
"149",166,"kalo's coffee house","1248 clairmont rd.","atlanta","404-325-3733","coffeehouses"
"150",167,"la fonda latina","4427 roswell rd.","atlannta","404-303-8201","spanish"
"151",168,"lettuce souprise you ( at )","3525 mall blvd.","atlanta","770-418-9969","cafeterias"
"152",169,"majestic","1031 ponce de leon ave.","atlanta","404-875-0276","diners"
"153",170,"morton's of chicago ( atlanta )","303 peachtree st. ne","atlanta","404-577-4366","steakhouses"
"154",171,"my thai","1248 clairmont rd.","atlanta","404-636-4280","thai"
"155",172,"nava","3060 peachtree rd.","atlanta","404-240-1984","southwestern"
"156",173,"nuevo laredo cantina","1495 chattahoochee ave. nw","atlanta","404-352-9009","mexican"
"157",174,"original pancake house ( at )","4330 peachtree rd.","atlanta","404-237-4116","american"
"158",175,"palm the ( atlanta )","3391 peachtree rd. ne","atlanta","404-814-1955","steakhouses"
"159",176,"rainbow restaurant","2118 n. decatur rd.","atlanta","404-633-3538","vegetarian"
"160",177,"riviera","519 e. paces ferry rd.","atlanta","404-262-7112","mediterranean"
"161",178,"silver skillet the","200 14th st. nw","atalanta","404-874-1388","coffee shops"
"162",179,"soto","3330 piedmont rd.","atlanta","404-233-2005","japanese"
"163",180,"thelma's kitchen","764 marietta st. nw","atlanta","404-688-5855","cafeterias"
"164",181,"tortillas","774 ponce de leon ave. ne","aatlanta","404-892-0193","tex-mex"
"165",182,"van gogh's restaurant & bar","70 w. crossville rd.","atlanta","770-993-1156","american ( new )"
"166",183,"veggieland","220 sandy springs circle","atlanta","404-231-3111","vegetarian"
"167",184,"white house restaurant","3172 peachtree rd. ne","tlanta","404-237-7601","diners"
"168",186,"bill's place","2315 clement st.","san francisco","415-221-5262","hamburgers"
"169",187,"cafe flore","2298 market st.","san francisco","415-621-8579","californian"
"170",188,"caffe greco","423 columbus ave.","san francisco","415-397-6261","continental"
"171",189,"campo santo","240 columbus ave.","sn francisco","415-433-9623","mexican"
"172",190,"cha cha cha's","1805 haight st.","sann francisco","415-386-5758","caribbean"
"173",191,"doidge's","2217 union st.","san francisco","415-921-2149","american"
"174",192,"dottie's true blue cafe","522 jones st.","sa francisco","415-885-2767","diners"
"175",193,"dusit thai","3221 mission st.","saan francisco","415-826-4639","thai"
"176",194,"ebisu","1283 ninth ave.","san francisco","415-566-1770","japanese"
"177",195,"'em erald garden restaurant","1550 california st.","san francisco","415-673-1155","vietnamese"
"178",196,"eric's chinese restaurant","1500 church st.","san francisco","415-282-0919","chinese"
"179",197,"hamburger mary's","1582 folsom st.","san francisco","415-626-1985","hamburgers"
"180",198,"kelly's on trinity","333 bush st.","san francisco","415-362-4454","californian"
"181",199,"la cumbre","515 valencia st.","san francisco","415-863-8205","mexican"
"182",200,"la mediterranee","288 noe st.","saan francisco","415-431-7210","mediterranean"
"183",201,"la taqueria","2889 mission st.","san francisco","415-285-7117","mexican"
"184",202,"mario's bohemian cigar store cafe","2209 polk st.","san francisco","415-776-8226","italian"
"185",203,"marnee thai","2225 irving st.","san fancisco","415-665-9500","thai"
"186",204,"mel's drive-in","3355 geary st.","san francisco","415-387-2244","hamburgers"
"187",205,"mo's burgers","1322 grant st.","san francisco","415-788-3779","hamburgers"
"188",206,"phnom penh cambodian restaurant","631 larkin st.","san francisco","415-775-5979","cambodian"
"189",207,"roosevelt tamale parlor","2817 24th st.","san francisco","415-550-9213","mexican"
"190",208,"sally's cafe & bakery","300 de haro st.","ssan francisco","415-626-6006","american"
"191",209,"san francisco bbq","1328 18th st.","san rancisco","415-431-8956","thai"
"192",210,"slanted door","584 valencia st.","sn francisco","415-861-8032","vietnamese"
"193",211,"swan oyster depot","1517 polk st.","san francisco","415-673-1101","seafood"
"194",212,"thep phanom","400 waller st.","san francisco","415-431-2526","thai"
"195",213,"ti couz","3108 16th st.","san francisco","415-252-7373","french"
"196",214,"trio cafe","1870 fillmore st.","san francisco","415-563-2248","american"
"197",215,"tu lan","8 sixth st.","san francisco","415-626-0927","vietnamese"
"198",216,"vicolo pizzeria","201 ivy st.","san francisco","415-863-2382","pizza"
"199",217,"wa-ha-ka oaxaca mexican grill","2141 polk st.","san  francisco","415-775-1055","mexican"
"200",218,"arnie morton's of chicago","435 s. la cienega blvd.","los aangeles","310-246-1501","steakhouses"
"201",219,"art's deli","12224 ventura blvd.","los angeles","818-762-1221","delis"
"202",220,"bel-air hotel","701 stone canyon rd.","los aneles","310-472-1211","californian"
"203",222,"campanile","624 s. la brea ave.","los angeles","213-938-1447","californian"
"204",223,"chinois on main","2709 main st.","los angeles","310-392-9025","pacific new wave"
"205",224,"citrus","6703 melrose ave.","los aneles","213-857-0034","californian"
"206",225,"fenix at the argyle","8358 sunset blvd.","los angeles","213-848-6677","french ( new )"
"207",226,"granita","23725 w. malibu rd.","los ngeles","310-456-0488","californian"
"208",227,"grill the","9560 dayton way","los angeles","310-276-0615","american ( traditional )"
"209",229,"l  ` orangerie","903 n. la cienega blvd.","los angeles","310-652-9770","french ( classic )"
"210",230,"le chardonnay ( los angeles )","8284 melrose ave.","los angeles","213-655-8880","french bistro"
"211",231,"locanda veneta","8638 w. third st.","losg angeles","310-274-1893","italian"
"212",232,"matsuhisa","129 n. la cienega blvd.","los angeles","310-659-9639","seafood"
"213",233,"palm the ( los angeles )","9001 santa monica blvd.","los angeles","310-550-8811","steakhouses"
"214",234,"patina","5955 melrose ave.","los ngeles","213-467-1108","californian"
"215",235,"philippe the original","1001 n. alameda st.","los angeles","213-628-3781","cafeterias"
"216",236,"pinot bistro","12969 ventura blvd.","losl angeles","818-990-0500","french bistro"
"217",237,"rex il ristorante","617 s. olive st.","los ngeles","213-627-2300","nuova cucina italian"
"218",238,"spago ( los angeles )","8795 sunset blvd.","los angeles","310-652-4025","californian"
"219",239,"valentino","3115 pico blvd.","los angeles","310-829-4313","italian"
"220",240,"yujean kang's","67 n. raymond ave.","los angeles","818-585-0855","chinese"
"221",241,"'21 club","21 w. 52nd st.","new york","212-582-7200","american ( new )"
"222",242,"aquavit","13 w. 54th st.","new york","212-307-7311","scandinavian"
"223",243,"aureole","34 e. 61st st.","new yoork","212-319-1660","american ( new )"
"224",244,"cafe lalo","201 w. 83rd st.","new yorkk","212-496-6031","coffeehouses"
"225",245,"cafe des artistes","1 w. 67th st.","new york","212-877-3500","french ( classic )"
"226",246,"carmine's","2450 broadway","new york","212-362-2200","italian"
"227",247,"carnegie deli","854 seventh ave.","new yorkn","212-757-2245","delis"
"228",248,"chanterelle","2 harrison st.","new york","212-966-6960","french ( new )"
"229",249,"daniel","20 e. 76th st.","new york","212-288-0033","french ( new )"
"230",250,"dawat","210 e. 58th st.","new york","212-355-7555","indian"
"231",251,"felidia","243 e. 58th st.","new yorwk","212-758-1479","italian"
"232",252,"four seasons","99 e. 52nd st.","new york","212-754-9494","american ( new )"
"233",253,"gotham bar & grill","12 e. 12th st.","new york","212-620-4020","american ( new )"
"234",254,"gramercy tavern","42 e. 20th st.","new york","212-477-0777","american ( new )"
"235",255,"island spice","402 w. 44th st.","new york","212-765-1737","caribbean"
"236",256,"jo jo","160 e. 64th st.","new ork","212-223-5656","french bistro"
"237",257,"la caravelle","33 w. 55th st.","new york","212-586-4252","french ( classic )"
"238",258,"la cote basque","60 w. 55th st.","new york","212-688-6525","french ( classic )"
"239",259,"le bernardin","155 w. 51st st.","new york","212-489-1515","seafood"
"240",260,"les celebrites","155 w. 58th st.","new york","212-484-5113","french ( classic )"
"241",261,"lespinasse ( new york city )","2 e. 55th st.","new york","212-339-6719","asian"
"242",262,"lutece","249 e. 50th st.","new yyork","212-752-2225","french ( classic )"
"243",263,"manhattan ocean club","57 w. 58th st.","new york","212-371-7777","seafood"
"244",264,"march","405 e. 58th st.","new york","212-754-6272","american ( new )"
"245",265,"mesa grill","102 fifth ave.","new york","212-807-7400","southwestern"
"246",266,"mi cocina","57 jane st.","new york","212-627-8273","mexican"
"247",267,"montrachet","239 w. broadway","new yor","212-219-2777","french bistro"
"248",268,"oceana","55 e. 54th st.","new  york","212-759-5941","seafood"
"249",269,"park avenue cafe ( new york city )","100 e. 63rd st.","new york","212-644-1900","american ( new )"
"250",270,"petrossian","182 w. 58th st.","new york","212-245-2214","russian"
"251",271,"picholine","35 w. 64th st.","new york","212-724-8585","mediterranean"
"252",272,"pisces","95 ave. a","new york","212-260-6660","seafood"
"253",273,"rainbow room","30 rockefeller plaza","new york","212-632-5000","american ( new )"
"254",274,"river cafe","1 water st.","new york","718-522-5200","american ( new )"
"255",275,"san domenico","240 central park s.","new york","212-265-5959","italian"
"256",276,"second avenue deli","156 second ave.","new york","212-677-0606","delis"
"257",277,"seryna","11 e. 53rd st.","new york","212-980-9393","japanese"
"258",278,"shun lee palace","155 e. 55th st.","new york","212-371-8844","chinese"
"259",279,"sign of the dove","1110 third ave.","new york","212-861-8080","american ( new )"
"260",280,"smith & wollensky","797 third ave.","new york","212-753-1530","steakhouses"
"261",281,"tavern on the green","` central park west","new yrk","212-873-3200","american ( new )"
"262",282,"uncle nick's","747 ninth ave.","new ork","212-245-7992","greek"
"263",283,"union square cafe","21 e. 16th st.","new york","212-243-4020","american ( new )"
"264",284,"virgil's real bbq","152 w. 44th st.","new york","212-921-9494","bbq"
"265",285,"chin's","3200 las vegas blvd. s.","las vegas","702-733-8899","chinese"
"266",286,"coyote cafe ( las vegas )","3799 las vegas blvd. s.","las vegas","702-891-7349","southwestern"
"267",287,"le montrachet bistro","3000 paradise rd.","las vegas","702-732-5651","french bistro"
"268",288,"palace court","3570 las vegas blvd. s.","las vegas","702-731-7110","french ( new )"
"269",289,"second street grill","200 e. fremont st.","las vegas","702-385-6277","pacific rim"
"270",290,"steak house the","2880 las vegas blvd. s.","las vegas","702-734-0410","steakhouses"
"271",291,"'till erman the","2245 e. flamingo rd.","la vegas","702-731-4036","steakhouses"
"272",292,"abruzzi","2355 peachtree rd. ne","aotlanta","404-261-8186","italian"
"273",293,"bacchanalia","3125 piedmont rd.","atlanta","404-365-0410","californian"
"274",294,"bone's restaurant","3130 piedmont rd. ne","atlanta","404-237-2663","steakhouses"
"275",295,"brasserie le coze","3393 peachtree rd.","atlanta","404-266-1440","french bistro"
"276",296,"buckhead diner","3073 piedmont rd.","atlanta","404-262-3336","american ( new )"
"277",297,"ciboulette restaurant","1529 piedmont ave.","atlanta","404-874-7600","french ( new )"
"278",298,"delectables","1 margaret mitchell sq.","atlanta","404-681-2909","cafeterias"
"279",299,"georgia grille","2290 peachtree rd.","atlanta","404-352-3517","southwestern"
"280",300,"hedgerose heights inn the","490 e. paces ferry rd. ne","atlanta","404-233-7673","continental"
"281",301,"heera of india","595 piedmont ave.","atlata","404-876-4408","indian"
"282",302,"indigo coastal grill","1397 n. highland ave.","atlanta","404-876-0676","eclectic"
"283",303,"la grotta","2637 peachtree rd. ne","atlannta","404-231-1368","italian"
"284",304,"mary mac's tea room","224 ponce de leon ave.","aatlanta","404-876-1800","southern/soul"
"285",305,"nikolai's roof","255 courtland st.","atlanta","404-221-6362","continental"
"286",306,"pano's & paul  's","1232 w. paces ferry rd.","atlanta","404-261-3662","american ( new )"
"287",307,"ritz-carlton cafe ( buckhead )","3434 peachtree rd. ne","atlanta","404-237-2700","american ( new )"
"288",308,"ritz-carlton dining room ( buckhead )","3434 peachtree rd. ne","atlanta","404-237-2700","american ( new )"
"289",309,"ritz-carlton restaurant","181 peachtree st.","tlanta","404-659-0400","french ( classic )"
"290",310,"toulouse","293-b peachtree rd.","atlanta","404-351-9533","french ( new )"
"291",311,"veni vidi vici","41 14th st.","tlanta","404-875-8424","italian"
"292",312,"alain rondelli","126 clement st.","san francisco","415-387-0408","french ( new )"
"293",313,"aqua","252 california st.","san francisco","415-956-9662","american ( new )"
"294",314,"boulevard","1 mission st.","san francisco","415-543-6084","american ( new )"
"295",315,"cafe claude","7 claude ln .","san francisco","415-392-3505","french bistro"
"296",316,"campton place","340 stockton st.","san franisco","415-955-5555","american ( new )"
"297",317,"chez michel","804 north point st.","san frcancisco","415-775-7036","californian"
"298",318,"fleur de lys","777 sutter st.","sn francisco","415-673-7779","french ( new )"
"299",319,"fringale","570 fourth st.","san francisco","415-543-0573","french bistro"
"300",320,"hawthorne lane","22 hawthorne st.","san francisco","415-777-9779","californian"
"301",321,"khan toke thai house","5937 geary blvd.","san francisco","415-668-6654","thai"
"302",322,"la folie","2316 polk st.","san frrancisco","415-776-5577","french ( new )"
"303",323,"lulu restaurant-bis-cafe","816 folsom st.","san francisco","415-495-5775","mediterranean"
"304",324,"masa's","648 bush st.","san francisco","415-989-7154","french ( new )"
"305",325,"mifune","1737 post st.","san francisco","415-922-0337","japanese"
"306",326,"plumpjack cafe","3127 fillmore st.","san francisco","415-563-4755","american ( new )"
"307",327,"postrio","545 post st.","san francisco","415-776-7825","californian"
"308",328,"ritz-carlton dining room ( san francisco )","600 stockton st.","san franc isco","415-296-7465","french ( new )"
"309",329,"rose pistola","532 columbus ave.","an francisco","415-399-0499","italian"
"310",330,"ritz-carlton cafe ( atlanta )","181 peachtree st.","tlanta","404-659-0400","american ( new )"
