"","country","male","female","both_sexes"
"166","Syrian Arab Republic",20.9,34.8,27.8
"167","Tajikistan",11.6,16.7,14.2
"168","Thailand",7,12.7,10
"169","Timor-Leste",2.6,4.9,3.8
"170","Togo",3.9,12.5,8.4
"171","Tonga",41.4,54.5,48.2
"172","Trinidad and Tobago",10.8,26,18.6
"173","Tunisia",19.1,34.3,26.9
"174","Turkey",24.4,39.2,32.1
"175","Turkmenistan",15.9,20.9,18.6
"176","Tuvalu",47,56.2,51.6
"177","Uganda",1.8,8.6,5.3
"178","Ukraine",22,25.7,24.1
"179","United Arab Emirates",27.5,41,31.7
"180","United Kingdom of Great Britain and Northern Ireland",26.9,28.6,27.8
"181","United Republic of Tanzania",4,12.7,8.4
"182","United States of America",35.5,37,36.2
"183","Uruguay",24.9,30.6,27.9
"184","Uzbekistan",13.8,19,16.6
"185","Vanuatu",20.2,30.1,25.2
"186","Venezuela (Bolivarian Republic of)",22.4,28.6,25.6
"187","Viet Nam",1.6,2.6,2.1
"188","Yemen",12,22,17.1
"189","Zambia",3.6,12.4,8.1
"190","Zimbabwe",4.7,25.3,15.5
