"date" "reactor" "checked"
1986-02-12 "C" TRUE
1986-02-12 "D" TRUE
1986-02-13 "A" TRUE
1986-02-13 "B" TRUE
1986-02-13 "C" TRUE
1986-02-13 "D" TRUE
1986-02-14 "A" TRUE
1986-02-14 "B" TRUE
1986-02-14 "C" TRUE
1986-02-14 "D" TRUE
1986-02-15 "A" TRUE
1986-02-15 "B" TRUE
1986-02-15 "C" TRUE
1986-02-15 "D" TRUE
1986-02-16 "A" TRUE
1986-02-16 "B" TRUE
1986-02-16 "C" TRUE
1986-02-16 "D" TRUE
1986-02-17 "A" TRUE
1986-02-17 "B" TRUE
1986-02-17 "C" TRUE
1986-02-17 "D" TRUE
1986-02-18 "A" TRUE
1986-02-18 "B" TRUE
1986-02-18 "C" TRUE
1986-02-18 "D" TRUE
1986-02-19 "A" TRUE
1986-02-19 "B" TRUE
1986-02-19 "C" TRUE
1986-02-19 "D" TRUE
1986-02-20 "A" TRUE
1986-02-20 "B" TRUE
1986-02-20 "C" TRUE
1986-02-20 "D" TRUE
1986-02-21 "A" TRUE
1986-02-21 "B" TRUE
1986-02-21 "C" TRUE
1986-02-21 "D" TRUE
1986-02-22 "A" TRUE
1986-02-22 "B" TRUE
1986-02-22 "C" TRUE
1986-02-22 "D" TRUE
1986-02-23 "A" TRUE
1986-02-23 "B" TRUE
1986-02-23 "C" TRUE
1986-02-23 "D" TRUE
1986-02-24 "A" TRUE
1986-02-24 "B" TRUE
1986-02-24 "C" TRUE
1986-02-24 "D" TRUE
1986-02-25 "A" TRUE
1986-02-25 "B" TRUE
1986-02-25 "C" TRUE
1986-02-25 "D" TRUE
1986-02-26 "A" TRUE
1986-02-26 "B" TRUE
1986-02-26 "C" TRUE
1986-02-26 "D" TRUE
1986-02-27 "A" TRUE
1986-02-27 "B" TRUE
1986-02-27 "C" TRUE
1986-02-27 "D" TRUE
1986-02-28 "A" TRUE
1986-02-28 "B" TRUE
1986-02-28 "C" TRUE
1986-02-28 "D" TRUE
1986-03-01 "A" TRUE
1986-03-01 "B" TRUE
1986-03-01 "C" TRUE
1986-03-01 "D" TRUE
1986-03-02 "A" TRUE
1986-03-02 "B" TRUE
1986-03-02 "C" TRUE
1986-03-02 "D" TRUE
1986-03-03 "A" TRUE
1986-03-03 "B" TRUE
1986-03-03 "C" TRUE
1986-03-03 "D" TRUE
1986-03-04 "A" TRUE
1986-03-04 "B" TRUE
1986-03-04 "C" TRUE
1986-03-04 "D" TRUE
1986-03-05 "A" TRUE
1986-03-05 "B" TRUE
1986-03-05 "C" TRUE
1986-03-05 "D" TRUE
1986-03-06 "A" TRUE
1986-03-06 "B" TRUE
1986-03-06 "C" TRUE
1986-03-06 "D" TRUE
1986-03-07 "A" TRUE
1986-03-07 "B" TRUE
1986-03-07 "C" TRUE
1986-03-07 "D" TRUE
1986-03-08 "A" TRUE
1986-03-08 "B" TRUE
1986-03-08 "C" TRUE
1986-03-08 "D" TRUE
1986-03-09 "A" TRUE
1986-03-09 "B" TRUE
1986-03-09 "C" TRUE
1986-03-09 "D" TRUE
1986-03-10 "A" TRUE
1986-03-10 "B" TRUE
1986-03-10 "C" TRUE
1986-03-10 "D" TRUE
1986-03-11 "A" TRUE
1986-03-11 "B" TRUE
1986-03-11 "C" TRUE
1986-03-11 "D" TRUE
1986-03-12 "A" TRUE
1986-03-12 "B" TRUE
1986-03-12 "C" TRUE
1986-03-12 "D" TRUE
1986-03-13 "A" TRUE
1986-03-13 "B" TRUE
1986-03-13 "C" TRUE
1986-03-13 "D" TRUE
1986-03-14 "A" TRUE
1986-03-14 "B" TRUE
1986-03-14 "C" TRUE
1986-03-14 "D" TRUE
1986-03-15 "A" TRUE
1986-03-15 "B" TRUE
1986-03-15 "C" TRUE
1986-03-15 "D" TRUE
1986-03-16 "A" TRUE
1986-03-16 "B" TRUE
1986-03-16 "C" TRUE
1986-03-16 "D" TRUE
1986-03-17 "A" TRUE
1986-03-17 "B" TRUE
1986-03-17 "C" TRUE
1986-03-17 "D" TRUE
1986-03-18 "A" TRUE
1986-03-18 "B" TRUE
1986-03-18 "C" TRUE
1986-03-18 "D" TRUE
1986-03-19 "A" TRUE
1986-03-19 "B" TRUE
1986-03-19 "C" TRUE
1986-03-19 "D" TRUE
1986-03-20 "A" TRUE
1986-03-20 "B" TRUE
1986-03-20 "C" TRUE
1986-03-20 "D" TRUE
1986-03-21 "A" TRUE
1986-03-21 "B" TRUE
1986-03-21 "C" TRUE
1986-03-21 "D" TRUE
1986-03-22 "A" TRUE
1986-03-22 "B" TRUE
1986-03-22 "C" TRUE
1986-03-22 "D" TRUE
1986-03-23 "A" TRUE
1986-03-23 "B" TRUE
1986-03-23 "C" TRUE
1986-03-23 "D" TRUE
1986-03-24 "A" TRUE
1986-03-24 "B" TRUE
1986-03-24 "C" TRUE
1986-03-24 "D" TRUE
1986-03-25 "A" TRUE
1986-03-25 "B" TRUE
1986-03-25 "C" TRUE
1986-03-25 "D" TRUE
1986-03-26 "A" TRUE
1986-03-26 "B" TRUE
1986-03-26 "C" TRUE
1986-03-26 "D" TRUE
1986-03-27 "A" TRUE
1986-03-27 "B" TRUE
1986-03-27 "C" TRUE
1986-03-27 "D" TRUE
1986-03-28 "A" TRUE
1986-03-28 "B" TRUE
1986-03-28 "C" TRUE
1986-03-28 "D" TRUE
1986-03-29 "A" TRUE
1986-03-29 "B" TRUE
1986-03-29 "C" TRUE
1986-03-29 "D" TRUE
1986-03-30 "A" TRUE
1986-03-30 "B" TRUE
1986-03-30 "C" TRUE
1986-03-30 "D" TRUE
1986-03-31 "A" TRUE
1986-03-31 "B" TRUE
1986-03-31 "C" TRUE
1986-03-31 "D" TRUE
1986-04-01 "A" TRUE
1986-04-01 "B" TRUE
1986-04-01 "C" TRUE
1986-04-01 "D" TRUE
1986-04-02 "A" TRUE
1986-04-02 "B" TRUE
1986-04-02 "C" TRUE
1986-04-02 "D" TRUE
1986-04-03 "A" TRUE
1986-04-03 "B" TRUE
1986-04-03 "C" TRUE
1986-04-03 "D" TRUE
1986-04-04 "A" TRUE
1986-04-04 "B" TRUE
1986-04-04 "C" TRUE
1986-04-04 "D" TRUE
1986-04-05 "A" TRUE
1986-04-05 "B" TRUE
1986-04-05 "C" TRUE
1986-04-05 "D" TRUE
1986-04-06 "A" TRUE
1986-04-06 "B" TRUE
1986-04-06 "C" TRUE
1986-04-06 "D" TRUE
1986-04-07 "A" TRUE
1986-04-07 "B" TRUE
1986-04-07 "C" TRUE
1986-04-07 "D" TRUE
1986-04-08 "A" TRUE
1986-04-08 "B" TRUE
1986-04-08 "C" TRUE
1986-04-08 "D" TRUE
1986-04-09 "A" TRUE
1986-04-09 "B" TRUE
1986-04-09 "C" TRUE
1986-04-09 "D" TRUE
1986-04-10 "A" TRUE
1986-04-10 "B" TRUE
1986-04-10 "C" TRUE
1986-04-10 "D" TRUE
1986-04-11 "A" TRUE
1986-04-11 "B" TRUE
1986-04-11 "C" TRUE
1986-04-11 "D" TRUE
1986-04-12 "A" TRUE
1986-04-12 "B" TRUE
1986-04-12 "C" TRUE
1986-04-12 "D" TRUE
1986-04-13 "A" TRUE
1986-04-13 "B" TRUE
1986-04-13 "C" TRUE
1986-04-13 "D" TRUE
1986-04-14 "A" TRUE
1986-04-14 "B" TRUE
1986-04-14 "C" TRUE
1986-04-14 "D" TRUE
1986-04-15 "A" TRUE
1986-04-15 "B" TRUE
1986-04-15 "C" TRUE
1986-04-15 "D" TRUE
1986-04-16 "A" TRUE
1986-04-16 "B" TRUE
1986-04-16 "C" TRUE
1986-04-16 "D" TRUE
1986-04-17 "A" TRUE
1986-04-17 "B" TRUE
1986-04-17 "C" TRUE
1986-04-17 "D" TRUE
1986-04-18 "A" TRUE
1986-04-18 "B" TRUE
1986-04-18 "C" TRUE
1986-04-18 "D" TRUE
1986-04-19 "A" TRUE
1986-04-19 "B" TRUE
1986-04-19 "C" TRUE
1986-04-19 "D" TRUE
1986-04-20 "A" TRUE
1986-04-20 "C" TRUE
1986-04-20 "D" TRUE
1986-04-21 "A" TRUE
1986-04-21 "B" TRUE
1986-04-21 "C" TRUE
1986-04-21 "D" TRUE
1986-04-22 "B" TRUE
1986-04-22 "C" TRUE
1986-04-22 "D" TRUE
1986-04-23 "A" TRUE
1986-04-23 "B" TRUE
1986-04-23 "C" TRUE
1986-04-23 "D" TRUE
1986-04-24 "A" TRUE
1986-04-24 "B" TRUE
1986-04-24 "C" TRUE
1986-04-24 "D" TRUE
1986-04-25 "A" TRUE
1986-04-25 "C" TRUE
1986-04-25 "D" TRUE
1986-04-26 "A" TRUE
1986-04-26 "B" TRUE
1986-04-26 "C" TRUE
1986-04-26 "D" TRUE
1986-04-27 "A" TRUE
1986-04-27 "B" TRUE
1986-04-27 "C" TRUE
1986-04-27 "D" TRUE
1986-04-28 "A" TRUE
1986-04-28 "B" TRUE
1986-04-28 "C" TRUE
1986-04-28 "D" TRUE
1986-04-29 "A" TRUE
1986-04-29 "B" TRUE
1986-04-29 "C" TRUE
1986-04-29 "D" TRUE
1986-04-30 "A" TRUE
1986-04-30 "B" TRUE
1986-04-30 "C" TRUE
1986-04-30 "D" TRUE
1986-05-01 "A" TRUE
1986-05-01 "B" TRUE
1986-05-01 "C" TRUE
1986-05-01 "D" TRUE
1986-05-02 "A" TRUE
1986-05-02 "B" TRUE
1986-05-02 "C" TRUE
1986-05-02 "D" TRUE
1986-05-03 "A" TRUE
1986-05-03 "B" TRUE
1986-05-03 "C" TRUE
1986-05-03 "D" TRUE
1986-05-04 "A" TRUE
1986-05-04 "B" TRUE
1986-05-04 "C" TRUE
1986-05-04 "D" TRUE
1986-05-05 "A" TRUE
1986-05-05 "B" TRUE
1986-05-05 "C" TRUE
1986-05-05 "D" TRUE
1986-05-06 "A" TRUE
1986-05-06 "B" TRUE
1986-05-06 "C" TRUE
1986-05-06 "D" TRUE
1986-05-07 "A" TRUE
1986-05-07 "B" TRUE
1986-05-07 "C" TRUE
1986-05-07 "D" TRUE
1986-05-08 "A" TRUE
1986-05-08 "B" TRUE
1986-05-08 "C" TRUE
1986-05-08 "D" TRUE
1986-05-09 "A" TRUE
1986-05-09 "B" TRUE
1986-05-09 "C" TRUE
1986-05-09 "D" TRUE
1986-05-10 "A" TRUE
1986-05-10 "B" TRUE
1986-05-10 "C" TRUE
1986-05-10 "D" TRUE
1986-05-11 "A" TRUE
1986-05-11 "B" TRUE
1986-05-11 "C" TRUE
1986-05-11 "D" TRUE
1986-05-12 "A" TRUE
1986-05-12 "B" TRUE
1986-05-12 "C" TRUE
1986-05-12 "D" TRUE
1986-05-13 "A" TRUE
1986-05-13 "B" TRUE
1986-05-13 "C" TRUE
1986-05-13 "D" TRUE
1986-05-14 "A" TRUE
1986-05-14 "B" TRUE
1986-05-14 "C" TRUE
1986-05-14 "D" TRUE
1986-05-15 "A" TRUE
1986-05-15 "B" TRUE
1986-05-15 "C" TRUE
1986-05-15 "D" TRUE
1986-05-16 "A" TRUE
1986-05-16 "B" TRUE
1986-05-16 "C" TRUE
1986-05-16 "D" TRUE
1986-05-17 "A" TRUE
1986-05-17 "B" TRUE
1986-05-17 "C" TRUE
1986-05-17 "D" TRUE
1986-05-18 "A" TRUE
1986-05-18 "B" TRUE
1986-05-18 "C" TRUE
1986-05-18 "D" TRUE
1986-05-19 "A" TRUE
1986-05-19 "B" TRUE
1986-05-19 "C" TRUE
1986-05-19 "D" TRUE
1986-05-20 "A" TRUE
1986-05-20 "B" TRUE
1986-05-20 "C" TRUE
1986-05-20 "D" TRUE
1986-05-21 "A" TRUE
1986-05-21 "B" TRUE
1986-05-21 "C" TRUE
1986-05-21 "D" TRUE
1986-05-22 "A" TRUE
1986-05-22 "B" TRUE
1986-05-22 "C" TRUE
1986-05-22 "D" TRUE
1986-05-23 "A" TRUE
1986-05-23 "B" TRUE
1986-05-23 "C" TRUE
1986-05-23 "D" TRUE
1986-05-24 "A" TRUE
1986-05-24 "B" TRUE
1986-05-24 "C" TRUE
1986-05-24 "D" TRUE
1986-05-25 "A" TRUE
1986-05-25 "B" TRUE
1986-05-25 "C" TRUE
1986-05-25 "D" TRUE
1986-05-26 "A" TRUE
1986-05-26 "B" TRUE
1986-05-26 "C" TRUE
1986-05-26 "D" TRUE
1986-05-27 "A" TRUE
1986-05-27 "B" TRUE
1986-05-27 "C" TRUE
1986-05-27 "D" TRUE
1986-05-28 "A" TRUE
1986-05-28 "B" TRUE
1986-05-28 "C" TRUE
1986-05-28 "D" TRUE
1986-05-29 "A" TRUE
1986-05-29 "B" TRUE
1986-05-29 "C" TRUE
1986-05-29 "D" TRUE
1986-05-30 "A" TRUE
1986-05-30 "B" TRUE
1986-05-30 "C" TRUE
1986-05-30 "D" TRUE
1986-05-31 "A" TRUE
1986-05-31 "B" TRUE
1986-05-31 "C" TRUE
1986-05-31 "D" TRUE
1986-06-01 "A" TRUE
1986-06-01 "B" TRUE
1986-06-01 "C" TRUE
1986-06-01 "D" TRUE
1986-06-02 "A" TRUE
1986-06-02 "B" TRUE
1986-06-02 "C" TRUE
1986-06-02 "D" TRUE
1986-06-03 "A" TRUE
1986-06-03 "B" TRUE
1986-06-03 "C" TRUE
1986-06-03 "D" TRUE
1986-06-04 "A" TRUE
1986-06-04 "B" TRUE
1986-06-04 "C" TRUE
1986-06-04 "D" TRUE
1986-06-05 "A" TRUE
1986-06-05 "B" TRUE
1986-06-05 "C" TRUE
1986-06-05 "D" TRUE
1986-06-06 "A" TRUE
1986-06-06 "B" TRUE
1986-06-06 "C" TRUE
1986-06-06 "D" TRUE
1986-06-07 "A" TRUE
1986-06-07 "B" TRUE
1986-06-07 "C" TRUE
1986-06-07 "D" TRUE
1986-06-08 "A" TRUE
1986-06-08 "B" TRUE
1986-06-08 "C" TRUE
1986-06-08 "D" TRUE
1986-06-09 "A" TRUE
1986-06-09 "B" TRUE
1986-06-09 "C" TRUE
1986-06-09 "D" TRUE
1986-06-10 "A" TRUE
1986-06-10 "B" TRUE
1986-06-10 "C" TRUE
1986-06-10 "D" TRUE
1986-06-11 "A" TRUE
1986-06-11 "B" TRUE
1986-06-11 "C" TRUE
1986-06-11 "D" TRUE
1986-06-12 "A" TRUE
1986-06-12 "B" TRUE
1986-06-12 "C" TRUE
1986-06-12 "D" TRUE
1986-06-13 "A" TRUE
1986-06-13 "B" TRUE
1986-06-13 "C" TRUE
1986-06-13 "D" TRUE
1986-06-14 "A" TRUE
1986-06-14 "B" TRUE
1986-06-14 "C" TRUE
1986-06-14 "D" TRUE
1986-06-15 "A" TRUE
1986-06-15 "B" TRUE
1986-06-15 "C" TRUE
1986-06-15 "D" TRUE
1986-06-16 "A" TRUE
1986-06-16 "B" TRUE
1986-06-16 "C" TRUE
1986-06-16 "D" TRUE
1986-06-17 "A" TRUE
1986-06-17 "B" TRUE
1986-06-17 "C" TRUE
1986-06-17 "D" TRUE
1986-06-18 "A" TRUE
1986-06-18 "B" TRUE
1986-06-18 "C" TRUE
1986-06-18 "D" TRUE
1986-06-19 "A" TRUE
1986-06-19 "B" TRUE
1986-06-19 "C" TRUE
1986-06-19 "D" TRUE
1986-06-20 "A" TRUE
1986-06-20 "B" TRUE
1986-06-20 "C" TRUE
1986-06-20 "D" TRUE
1986-06-21 "A" TRUE
1986-06-21 "B" TRUE
1986-06-21 "C" TRUE
1986-06-21 "D" TRUE
1986-06-22 "A" TRUE
1986-06-22 "B" TRUE
1986-06-22 "C" TRUE
1986-06-22 "D" TRUE
1986-06-23 "A" TRUE
1986-06-23 "B" TRUE
1986-06-23 "C" TRUE
1986-06-23 "D" TRUE
1986-06-24 "A" TRUE
1986-06-24 "B" TRUE
1986-06-24 "C" TRUE
1986-06-24 "D" TRUE
1986-06-25 "A" TRUE
1986-06-25 "B" TRUE
1986-06-25 "C" TRUE
1986-06-25 "D" TRUE
1986-06-26 "A" TRUE
1986-06-26 "B" TRUE
1986-06-26 "C" TRUE
1986-06-26 "D" TRUE
1986-06-27 "A" TRUE
1986-06-27 "B" TRUE
1986-06-27 "C" TRUE
1986-06-27 "D" TRUE
1986-06-28 "A" TRUE
1986-06-28 "B" TRUE
1986-06-28 "C" TRUE
1986-06-28 "D" TRUE
1986-06-29 "A" TRUE
1986-06-29 "B" TRUE
1986-06-29 "C" TRUE
1986-06-29 "D" TRUE
1986-06-30 "A" TRUE
1986-06-30 "B" TRUE
1986-06-30 "C" TRUE
1986-06-30 "D" TRUE
1986-07-01 "A" TRUE
1986-07-01 "B" TRUE
1986-07-01 "C" TRUE
1986-07-01 "D" TRUE
1986-07-02 "A" TRUE
1986-07-02 "B" TRUE
1986-07-02 "C" TRUE
1986-07-02 "D" TRUE
1986-07-03 "A" TRUE
1986-07-03 "B" TRUE
1986-07-03 "C" TRUE
1986-07-03 "D" TRUE
1986-07-04 "A" TRUE
1986-07-04 "B" TRUE
1986-07-04 "C" TRUE
1986-07-04 "D" TRUE
1986-07-05 "A" TRUE
1986-07-05 "B" TRUE
1986-07-05 "C" TRUE
1986-07-05 "D" TRUE
1986-07-06 "A" TRUE
1986-07-06 "B" TRUE
1986-07-06 "C" TRUE
1986-07-06 "D" TRUE
1986-07-07 "A" TRUE
1986-07-07 "B" TRUE
1986-07-07 "C" TRUE
1986-07-07 "D" TRUE
1986-07-08 "A" TRUE
1986-07-08 "B" TRUE
1986-07-08 "C" TRUE
1986-07-08 "D" TRUE
1986-07-09 "A" TRUE
1986-07-09 "B" TRUE
1986-07-09 "C" TRUE
1986-07-09 "D" TRUE
1986-07-10 "A" TRUE
1986-07-10 "B" TRUE
1986-07-10 "C" TRUE
1986-07-10 "D" TRUE
1986-07-11 "A" TRUE
1986-07-11 "B" TRUE
1986-07-11 "C" TRUE
1986-07-11 "D" TRUE
1986-07-12 "A" TRUE
1986-07-12 "B" TRUE
1986-07-12 "C" TRUE
1986-07-12 "D" TRUE
1986-07-13 "A" TRUE
1986-07-13 "B" TRUE
1986-07-13 "C" TRUE
1986-07-13 "D" TRUE
1986-07-14 "A" TRUE
1986-07-14 "B" TRUE
1986-07-14 "C" TRUE
1986-07-14 "D" TRUE
1986-07-15 "A" TRUE
1986-07-15 "B" TRUE
1986-07-15 "C" TRUE
1986-07-15 "D" TRUE
1986-07-16 "A" TRUE
1986-07-16 "B" TRUE
1986-07-16 "C" TRUE
1986-07-16 "D" TRUE
1986-07-17 "A" TRUE
1986-07-17 "B" TRUE
1986-07-17 "C" TRUE
1986-07-17 "D" TRUE
1986-07-18 "A" TRUE
1986-07-18 "B" TRUE
1986-07-18 "C" TRUE
1986-07-18 "D" TRUE
1986-07-19 "A" TRUE
1986-07-19 "B" TRUE
1986-07-19 "C" TRUE
1986-07-19 "D" TRUE
1986-07-20 "A" TRUE
1986-07-20 "B" TRUE
1986-07-20 "C" TRUE
1986-07-20 "D" TRUE
1986-07-21 "A" TRUE
1986-07-21 "B" TRUE
1986-07-21 "C" TRUE
1986-07-21 "D" TRUE
1986-07-22 "A" TRUE
1986-07-22 "B" TRUE
1986-07-22 "C" TRUE
1986-07-22 "D" TRUE
1986-07-23 "A" TRUE
1986-07-23 "B" TRUE
1986-07-23 "C" TRUE
1986-07-23 "D" TRUE
1986-07-24 "A" TRUE
1986-07-24 "B" TRUE
1986-07-24 "C" TRUE
1986-07-24 "D" TRUE
1986-07-25 "A" TRUE
1986-07-25 "B" TRUE
1986-07-25 "C" TRUE
1986-07-25 "D" TRUE
1986-07-26 "A" TRUE
1986-07-26 "B" TRUE
1986-07-26 "C" TRUE
1986-07-26 "D" TRUE
1986-07-27 "A" TRUE
1986-07-27 "B" TRUE
1986-07-27 "C" TRUE
1986-07-27 "D" TRUE
1986-07-28 "A" TRUE
1986-07-28 "B" TRUE
1986-07-28 "C" TRUE
1986-07-28 "D" TRUE
1986-07-29 "A" TRUE
1986-07-29 "B" TRUE
1986-07-29 "C" TRUE
1986-07-29 "D" TRUE
1986-07-30 "A" TRUE
1986-07-30 "B" TRUE
1986-07-30 "C" TRUE
1986-07-30 "D" TRUE
1986-07-31 "A" TRUE
1986-07-31 "B" TRUE
1986-07-31 "C" TRUE
1986-07-31 "D" TRUE
1986-08-01 "A" TRUE
1986-08-01 "B" TRUE
1986-08-01 "C" TRUE
1986-08-01 "D" TRUE
1986-08-02 "A" TRUE
1986-08-02 "B" TRUE
1986-08-02 "C" TRUE
1986-08-02 "D" TRUE
1986-08-03 "A" TRUE
1986-08-03 "B" TRUE
1986-08-03 "C" TRUE
1986-08-03 "D" TRUE
1986-08-04 "A" TRUE
1986-08-04 "B" TRUE
1986-08-04 "C" TRUE
1986-08-04 "D" TRUE
1986-08-05 "A" TRUE
1986-08-05 "B" TRUE
1986-08-05 "C" TRUE
1986-08-05 "D" TRUE
1986-08-06 "A" TRUE
1986-08-06 "B" TRUE
1986-08-06 "C" TRUE
1986-08-06 "D" TRUE
1986-08-07 "A" TRUE
1986-08-07 "B" TRUE
1986-08-07 "C" TRUE
1986-08-07 "D" TRUE
1986-08-08 "A" TRUE
1986-08-08 "B" TRUE
1986-08-08 "C" TRUE
1986-08-08 "D" TRUE
1986-08-09 "A" TRUE
1986-08-09 "B" TRUE
1986-08-09 "C" TRUE
1986-08-09 "D" TRUE
1986-08-10 "A" TRUE
1986-08-10 "B" TRUE
1986-08-10 "C" TRUE
1986-08-10 "D" TRUE
1986-08-11 "A" TRUE
1986-08-11 "B" TRUE
1986-08-11 "C" TRUE
1986-08-11 "D" TRUE
1986-08-12 "A" TRUE
1986-08-12 "B" TRUE
1986-08-12 "C" TRUE
1986-08-12 "D" TRUE
1986-08-13 "A" TRUE
1986-08-13 "B" TRUE
1986-08-13 "C" TRUE
1986-08-13 "D" TRUE
1986-08-14 "A" TRUE
1986-08-14 "B" TRUE
1986-08-14 "C" TRUE
1986-08-14 "D" TRUE
1986-08-15 "A" TRUE
1986-08-15 "B" TRUE
1986-08-15 "C" TRUE
1986-08-15 "D" TRUE
1986-08-16 "A" TRUE
1986-08-16 "B" TRUE
1986-08-16 "C" TRUE
1986-08-16 "D" TRUE
1986-08-17 "A" TRUE
1986-08-17 "B" TRUE
1986-08-17 "C" TRUE
1986-08-17 "D" TRUE
1986-08-18 "A" TRUE
1986-08-18 "B" TRUE
1986-08-18 "C" TRUE
1986-08-18 "D" TRUE
1986-08-19 "A" TRUE
1986-08-19 "B" TRUE
1986-08-19 "C" TRUE
1986-08-19 "D" TRUE
1986-08-20 "A" TRUE
1986-08-20 "B" TRUE
1986-08-20 "C" TRUE
1986-08-20 "D" TRUE
1986-08-21 "A" TRUE
1986-08-21 "B" TRUE
1986-08-21 "C" TRUE
1986-08-21 "D" TRUE
1986-08-22 "A" TRUE
1986-08-22 "B" TRUE
