"","id","date_opened","total","fund_A","fund_B","fund_C","acct_age"
"86","0682E9DE",2002-10-01,72832,15809,15617,41406,21
"87","49931170",2011-03-25,139614,83035,22239,34340,12
"88","A154F63B",2000-07-11,133800,42648,16464,74688,23
"89","3690CCED",2014-10-19,226595,70260,84337,71998,9
"90","48F5E6D8",2020-02-16,135435,29123,23204,83108,3
"91","515FAD84",2013-06-20,98190,6452,60014,31724,10
"92","59794264",2008-01-16,157964,68869,32999,56096,15
"93","2038185B",2016-06-24,194662,20591,89990,84081,7
"94","65EAC615",2004-02-20,140191,20108,46764,73319,19
"95","6C7509C9",2000-09-16,212089,58861,76975,76253,23
"96","BD969A9D",2007-04-29,167238,10234,83183,73821,16
"97","B0CDCE3D",2014-05-28,145240,62549,48606,34085,9
"98","33A7F03E",2007-10-14,191839,80542,87909,23388,16
