"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","Group"
44765721,47843455,11000,11000,11000,"36 months",9.99,354.89,"B","B3","Coach/Teacher","8 years","MORTGAGE",62000,"Source Verified","May-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=44765721",NA,"debt_consolidation","Debt consolidation","721xx","AR",16.03,0,"Jun-2001",0,67,NA,6,0,5496,43.6,25,"w",8831.07,8831.07,2833.02,2833.02,2168.93,664.09,0,0,0,"Jan-2016",354.89,"Feb-2016","Jan-2016",0,67,1,"INDIVIDUAL",NA,NA,NA,0,0,156148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12600,NA,NA,NA,"A"
8596988,10349022,7200,7200,7200,"60 months",14.3,168.66,"C","C1","Business Systems Analyst","2 years","RENT",54500,"Source Verified","Nov-2013","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=8596988",NA,"credit_card","Visa","152xx","PA",19.6,0,"Jan-2006",1,NA,NA,14,0,10961,84.3,21,"f",4692.57,4692.57,4383.87,4383.87,2507.43,1876.44,0,0,0,"Jan-2016",168.66,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,50233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,NA,NA,NA,"A"
5794746,7226904,7000,7000,7000,"36 months",15.8,245.41,"C","C3","Pitney Bowes Credit Corporation","10+ years","MORTGAGE",51000,"Source Verified","Jun-2013","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5794746",NA,"debt_consolidation","debtfree","066xx","CT",10.39,1,"Dec-1987",3,11,NA,17,0,3093,27.9,49,"w",0,0,7522.2,7522.2,7000,522.2,0,0,0,"Dec-2013",6295.15,NA,"Jan-2016",0,11,1,"INDIVIDUAL",NA,NA,NA,0,0,175657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11100,NA,NA,NA,"A"
59501253,63434972,21000,21000,21000,"60 months",17.86,531.67,"D","D5","Driver/Owner","5 years","MORTGAGE",75000,"Verified","Sep-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=59501253",NA,"other","Other","475xx","IN",29.31,0,"Mar-2003",3,NA,11,11,16,9605,58.6,16,"w",20103.76,20103.76,2105.84,2105.84,896.24,1209.6,0,0,0,"Jan-2016",531.67,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,66674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16400,NA,NA,NA,"A"
10578432,12460357,5000,5000,5000,"36 months",12.49,167.25,"B","B4","Systems Integrator II","10+ years","RENT",75519,"Source Verified","Apr-2014","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=10578432",NA,"debt_consolidation","Debt consolidation","662xx","KS",15.46,0,"Sep-1973",0,NA,117,20,1,16137,38,28,"w",0,0,5338.66859815,5338.67,5000,338.67,0,0,0,"Nov-2014",4335.17,NA,"Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,28386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42500,NA,NA,NA,"A"
36058744,38770293,8000,8000,8000,"36 months",10.49,259.99,"B","B3","PBX operator","8 years","RENT",34000,"Not Verified","Nov-2014","Late (16-30 days)","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=36058744",NA,"credit_card","Credit card refinancing","395xx","MS",17.01,0,"May-2000",0,42,71,9,1,8709,49.8,29,"f",5606.41,5606.41,3115.22,3115.22,2393.59,721.63,0,0,0,"Dec-2015",259.99,"Jan-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,135,146361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17500,NA,NA,NA,"A"
11727607,13699799,35000,35000,35000,"36 months",14.98,1212.95,"C","C3","outside sales","10+ years","MORTGAGE",175000,"Verified","Feb-2014","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=11727607","Borrower added on 02/11/14 > Pay off high interest credit cards, make enough money, just go in credit card debt a while back and cannot get on top of it because of high interest<br>","debt_consolidation","Debt consolidation","302xx","GA",19.93,0,"Dec-1988",3,NA,NA,14,0,38288,64.3,35,"f",0,0,42279.71,42279.71,35000,7279.71,0,0,0,"Dec-2015",16807.76,NA,"Dec-2015",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,396618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59500,NA,NA,NA,"A"
357888,186229,7500,7500,6058.60109651,"36 months",12.72,251.7,"C","C4","General Dynamics","7 years","MORTGAGE",82000,"Verified","Oct-2008","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=357888","For the past eight months I’ve been fairly successful at managing my available cash making payments on time and occasionally putting extra toward credit cards or putting some cash in savings.  Too many events have transpired that have eaten away at the narrow margin I had and I am now beginning to fall behind.  A consolidation loan would reduce my monthly payment obligations and allow quicker payoff of credit card debt.","debt_consolidation","Consolidate","852xx","AZ",11.12,1,"May-1992",0,23,NA,11,0,12336,46,22,"f",0,0,9057.07,7254.7,7499.99,1557.08,0,0,0,"Nov-2011",271.61,NA,"Oct-2011",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A"
51936863,55366596,32000,32000,31950,"60 months",21.99,883.63,"F","F1","Pharmaceutical Sales","1 year","OWN",81000,"Verified","Jul-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=51936863",NA,"home_improvement","Home improvement","420xx","KY",5.17,0,"Mar-1999",2,63,NA,6,0,237,3.4,11,"f",30132.9,30085.82,5541.76,5533.1,1867.1,3674.66,0,0,0,"Jan-2016",1162.7,"Feb-2016","Jan-2016",0,63,1,"INDIVIDUAL",NA,NA,NA,0,0,43631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,NA,NA,NA,"A"
1178593,1420155,15000,15000,14850,"36 months",13.67,510.27,"B","B5","Marvell","< 1 year","RENT",75000,"Verified","Mar-2012","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1178593","Borrower added on 03/07/12 > I would use loan towards paying my taxes  and  towards paying my BMW car repair expenses.<br>","other","taxes","950xx","CA",1.42,4,"Jan-2001",0,19,NA,6,0,1542,34.3,37,"f",0,0,16907.16,16738.09,15000,1907.16,0,0,0,"Apr-2013",10787.01,NA,"May-2013",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A"
57315811,61018591,14000,14000,14000,"60 months",14.65,330.5,"C","C5","pharmacist","3 years","MORTGAGE",150000,"Source Verified","Aug-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=57315811",NA,"debt_consolidation","Debt consolidation","365xx","AL",7.59,1,"Jul-1992",0,17,NA,11,0,31186,46.8,35,"w",13349.88,13349.88,1310.61,1310.61,650.12,660.49,0,0,0,"Jan-2016",330.5,"Jan-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,125939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66600,NA,NA,NA,"A"
5705168,7117305,6500,6500,6500,"36 months",10.16,210.23,"B","B1","fanns heat and air","4 years","MORTGAGE",60000,"Not Verified","Jun-2013","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5705168",NA,"debt_consolidation","Debt consolidation","371xx","TN",12.38,0,"Dec-2003",0,NA,NA,10,0,3989,24.3,19,"f",0,0,7108.5032141,7108.5,6500,608.5,0,0,0,"Jul-2014",4590.7,NA,"Jun-2015",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,275476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16400,NA,NA,NA,"A"
46024211,49131931,12875,12875,12875,"60 months",18.84,332.86,"E","E2","administrator","10+ years","OWN",43000,"Source Verified","Apr-2015","Default","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=46024211",NA,"credit_card","Credit card refinancing","934xx","CA",39.66,1,"Jan-1998",0,13,NA,12,0,39607,71.2,23,"w",12339.67,12339.67,1317.96,1317.96,535.33,782.63,0,0,0,"Aug-2015",332.86,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,49214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55600,NA,NA,NA,"A"
12947039,14979227,15000,15000,15000,"36 months",11.99,498.15,"B","B3","Director of nursing","8 years","MORTGAGE",237510,"Verified","Apr-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=12947039",NA,"debt_consolidation","Debt consolidation","913xx","CA",9.61,2,"Apr-1996",0,13,NA,14,0,37803,71.6,36,"f",6907.06,6907.06,10461.15,10461.15,8092.94,2368.21,0,0,0,"Jan-2016",498.15,"Feb-2016","Jan-2016",0,49,1,"INDIVIDUAL",NA,NA,NA,0,0,810317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52800,NA,NA,NA,"A"
57345207,61047951,6000,6000,6000,"36 months",10.99,196.41,"B","B4","Operation Management Analyst Principal","6 years","MORTGAGE",37526,"Source Verified","Aug-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=57345207",NA,"credit_card","Credit card refinancing","392xx","MS",8.79,0,"Mar-2000",1,49,NA,17,0,5020,33,23,"w",5279.63,5279.63,978.39,978.39,720.37,258.02,0,0,0,"Jan-2016",196.41,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,97077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15200,NA,NA,NA,"A"
55299831,58870584,11000,11000,11000,"60 months",12.69,248.55,"C","C2","Special Events Manager","7 years","RENT",49000,"Source Verified","Jul-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=55299831",NA,"debt_consolidation","Debt consolidation","342xx","FL",36.32,0,"Jun-2004",0,NA,NA,18,0,10974,34.1,23,"w",10185.39,10185.39,1425.37,1425.37,814.61,610.76,0,0,0,"Jan-2016",248.55,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,55946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32200,NA,NA,NA,"A"
28763037,31296172,5000,5000,5000,"36 months",13.35,169.32,"C","C2","Parts Manager","3 years","MORTGAGE",29000,"Source Verified","Oct-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=28763037",NA,"credit_card","Credit card refinancing","405xx","KY",11.75,0,"Jun-2005",1,NA,NA,4,0,3510,100.3,6,"f",3155.14,3155.14,2539.8,2539.8,1844.86,694.94,0,0,0,"Jan-2016",169.32,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,90251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,NA,NA,NA,"A"
49763149,53091862,24000,24000,23975,"36 months",12.29,800.48,"C","C1","Attorney","9 years","RENT",98000,"Source Verified","May-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=49763149",NA,"debt_consolidation","Debt consolidation","983xx","WA",33.15,0,"Nov-1998",2,NA,NA,16,0,62244,69.1,39,"f",16936.19,16918.55,8570.59,8561.66,7063.81,1506.78,0,0,0,"Dec-2015",800.48,"Jan-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,146485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87600,NA,NA,NA,"A"
20077511,22340219,18000,18000,18000,"36 months",12.99,606.41,"C","C1","Truck Driver","10+ years","MORTGAGE",95000,"Source Verified","Jul-2014","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=20077511",NA,"debt_consolidation","Debt consolidation","461xx","IN",17.09,0,"May-2001",3,NA,33,9,1,9484,68.2,13,"w",0,0,19937.89,19937.89,18000,1937.89,0,0,0,"Jun-2015",13873.79,NA,"Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,150,156948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13900,NA,NA,NA,"A"
60216198,64192954,12000,12000,12000,"60 months",12.69,271.14,"C","C2","admin","4 years","MORTGAGE",41000,"Not Verified","Sep-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=60216198",NA,"debt_consolidation","Debt consolidation","787xx","TX",27.02,0,"Jul-2005",0,NA,NA,11,0,14375,86.1,23,"w",11413.82,11413.82,1105.71,1105.71,586.18,519.53,0,0,0,"Jan-2016",271.14,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,177957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16700,NA,NA,NA,"A"
12295190,14287333,12000,12000,12000,"60 months",14.64,283.22,"C","C3","Warehouseman","10+ years","MORTGAGE",65000,"Verified","Feb-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=12295190",NA,"debt_consolidation","Debt consolidation","131xx","NY",28.47,0,"Jan-1994",0,NA,NA,21,0,17353,43.7,58,"f",8571.11,8571.11,6230.84,6230.84,3428.89,2801.95,0,0,0,"Dec-2015",283.22,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,34574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39700,NA,NA,NA,"A"
1570287,1837878,9600,9600,9600,"36 months",12.12,319.41,"B","B3","City of clemson","< 1 year","MORTGAGE",30000,"Verified","Oct-2012","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1570287",NA,"debt_consolidation","Debt consolidation","296xx","SC",19.96,2,"Sep-2002",0,3,NA,6,0,457,10.2,22,"f",0,0,1470.82,1470.82,673.86,284.01,0,512.95,5.04,"Feb-2013",319.41,NA,"Jun-2014",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,96942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,NA,NA,NA,"A"
61408414,65527131,10000,10000,10000,"60 months",12.29,223.92,"C","C1","Real estate Agent","< 1 year","MORTGAGE",70000,"Not Verified","Oct-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=61408414",NA,"debt_consolidation","Debt consolidation","331xx","FL",25.43,0,"Dec-1990",1,24,76,15,1,5971,28.4,51,"w",9631.74,9631.74,658.1,658.1,368.26,289.84,0,0,0,"Jan-2016",223.92,"Feb-2016","Jan-2016",0,24,1,"INDIVIDUAL",NA,NA,NA,0,0,307470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21000,NA,NA,NA,"A"
59121340,63009125,15000,15000,15000,"36 months",9.99,483.94,"B","B3","Police officer","4 years","MORTGAGE",55800,"Verified","Sep-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=59121340",NA,"debt_consolidation","Debt consolidation","381xx","TN",31.94,0,"Feb-2000",0,76,NA,15,0,14752,70,33,"f",13913.81,13913.81,1443.5,1443.5,1086.19,357.31,0,0,0,"Dec-2015",483.94,"Feb-2016","Jan-2016",0,42,1,"INDIVIDUAL",NA,NA,NA,0,0,148764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21200,NA,NA,NA,"A"
32349527,34962796,6000,6000,6000,"36 months",11.67,198.35,"B","B4","Info Tech Specialist","3 years","RENT",54080,"Not Verified","Oct-2014","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=32349527",NA,"credit_card","Credit card refinancing","750xx","TX",17.09,1,"Mar-2000",1,14,NA,20,0,3497,36.8,56,"w",0,0,2769.12,2769.12,2088.85,680.27,0,0,0,"Dec-2015",4143.74,NA,"Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,1293,213804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,"A"
5773180,7204959,10975,10975,10975,"36 months",7.62,342,"A","A3","The home depot","8 years","OWN",33862,"Not Verified","Jun-2013","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=5773180","Borrower added on 06/15/13 > Have tried to get a lot of finanacial tasks.in order over the past 5yrs or so. I have gotten the majority of them paid, but due to a medical issue I had fallen behind a bit.. so there you have it.<br>","credit_card","reorganize credit to manage","920xx","CA",17.83,0,"Jul-2008",0,NA,NA,9,0,9695,30.4,11,"f",0,0,6058.11,6058.11,4261.45,856.47,0,940.19,9.2811000053,"Oct-2014",342,NA,"Feb-2015",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,100,9899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31914,NA,NA,NA,"A"
26899704,29382716,16900,16900,16900,"36 months",19.52,623.94,"E","E2","Director of Communications","3 years","RENT",47000,"Verified","Sep-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=26899704",NA,"debt_consolidation","Debt consolidation","782xx","TX",23.85,0,"Apr-1989",3,NA,NA,11,0,9771,52,21,"f",10579.59,10579.59,9983.04,9983.04,6320.41,3662.63,0,0,0,"Jan-2016",623.94,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,255,41574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18800,NA,NA,NA,"A"
55412161,59013921,5000,5000,5000,"36 months",9.99,161.32,"B","B3","Quality control","3 years","RENT",40000,"Not Verified","Jul-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=55412161",NA,"debt_consolidation","Debt consolidation","930xx","CA",21.99,0,"Nov-1995",0,45,NA,8,0,5343,62.1,23,"w",4266.72,4266.72,965.14,965.14,733.28,231.86,0,0,0,"Jan-2016",161.32,"Feb-2016","Jan-2016",0,45,1,"INDIVIDUAL",NA,NA,NA,0,0,8078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8600,NA,NA,NA,"A"
2217935,2630383,14000,14000,14000,"36 months",15.8,490.82,"C","C3","Social Security Administration","9 years","OWN",60000,"Not Verified","Nov-2012","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=2217935","Borrower added on 11/25/12 > Consolidate Credit Cards.<br>","debt_consolidation","CC Consolidate","330xx","FL",27.81,1,"Feb-1991",1,23,NA,11,0,10745,92.6,29,"f",0,0,17669.3927355,17669.39,14000,3669.39,0,0,0,"Dec-2015",490.69,NA,"Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,40136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11600,NA,NA,NA,"A"
16462713,18545168,6500,6500,6500,"36 months",11.67,214.87,"B","B4","Valve Finisher","10+ years","RENT",44000,"Source Verified","May-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=16462713",NA,"debt_consolidation","Debt consolidation","054xx","VT",24.2,0,"Nov-2000",3,56,NA,9,0,6295,33.8,33,"f",3351.85,3351.85,4082.53,4082.53,3148.15,934.38,0,0,0,"Dec-2015",214.87,"Feb-2016","Jan-2016",1,56,1,"INDIVIDUAL",NA,NA,NA,0,961,24189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18600,NA,NA,NA,"A"
